engine,indexing,access,operation,valueType,size,samples,avg_ms,min_ms,max_ms,stddev_ms
Realm,indexed,read,notEqual,string,10,10,0.0557,0.0307,0.2359,0.0635
Realm,indexed,read,notEqual,string,100,10,0.1981,0.1683,0.3987,0.0708
Realm,indexed,read,notEqual,string,1000,10,1.7500,1.6333,1.9071,0.0963
Realm,indexed,read,notEqual,string,10000,10,11.6934,8.1887,29.5324,7.0884
Realm,indexed,read,notEqual,string,100000,10,86.8720,81.6800,121.4108,12.2541
Realm,indexed,read,comparison,int,10,10,0.0514,0.0219,0.2715,0.0776
Realm,indexed,read,comparison,int,100,10,0.0970,0.0789,0.2364,0.0491
Realm,indexed,read,comparison,int,1000,10,0.7735,0.7446,0.9409,0.0594
Realm,indexed,read,comparison,int,10000,10,7.4134,5.7023,8.1773,0.8397
Realm,indexed,read,comparison,int,100000,10,46.5193,41.1845,64.0493,6.6817
Realm,indexed,read,comparison,string,10,10,0.0480,0.0182,0.2927,0.0861
Realm,indexed,read,comparison,string,100,10,0.1786,0.0770,0.3981,0.1033
Realm,indexed,read,comparison,string,1000,10,1.4207,0.5861,2.1546,0.4322
Realm,indexed,read,comparison,string,10000,10,4.6447,3.0470,6.0059,1.3804
Realm,indexed,read,comparison,string,100000,10,34.4977,29.9292,58.4861,9.0027
Realm,indexed,read,sort,int,10,10,0.0728,0.0267,0.4491,0.1323
Realm,indexed,read,sort,int,100,10,0.2113,0.1915,0.3292,0.0419
Realm,indexed,read,sort,int,1000,10,3.3751,1.9964,15.5711,4.2853
Realm,indexed,read,sort,int,10000,10,13.3536,10.7798,20.2472,3.5739
Realm,indexed,read,sort,int,100000,10,126.9641,116.1141,144.8521,7.7856
Realm,indexed,read,sort,string,10,10,0.0425,0.0274,0.1375,0.0338
Realm,indexed,read,sort,string,100,10,0.5726,0.5152,0.7940,0.0911
Realm,indexed,read,sort,string,1000,10,2.1186,2.0789,2.2624,0.0566
Realm,indexed,read,sort,string,10000,10,15.1170,11.2189,22.4445,4.8985
Realm,indexed,read,sort,string,100000,10,134.1818,124.3937,164.5882,11.4886
Realm,indexed,read,byID,-,10,10,0.0267,0.0047,0.2071,0.0635
Realm,indexed,read,byID,-,100,10,0.0119,0.0039,0.0769,0.0229
Realm,indexed,read,byID,-,1000,10,0.0105,0.0041,0.0636,0.0187
Realm,indexed,read,byID,-,10000,10,0.0122,0.0040,0.0805,0.0240
Realm,indexed,read,byID,-,100000,10,0.0127,0.0043,0.0814,0.0242
Realm,indexed,write,insert,-,10,10,0.9760,0.2189,4.3209,1.2968
Realm,indexed,write,insert,-,100,10,1.0801,0.6767,1.9658,0.5659
Realm,indexed,write,insert,-,1000,10,8.5505,5.9812,18.7133,4.4988
Realm,indexed,write,insert,-,10000,10,65.8766,63.5441,72.5167,2.6239
Realm,indexed,write,insert,-,100000,10,726.0034,665.0885,769.5027,36.1217
Realm,indexed,write,update,-,10,10,0.2164,0.0831,0.7313,0.1940
Realm,indexed,write,update,-,100,10,0.2642,0.1963,0.3587,0.0552
Realm,indexed,write,update,-,1000,10,1.4152,1.2152,2.7381,0.4686
Realm,indexed,write,update,-,10000,10,14.1273,13.3369,14.6660,0.4074
Realm,indexed,write,update,-,100000,10,172.0034,164.3950,194.9069,10.5011
Realm,default,read,equality,int,10,10,0.0480,0.0168,0.3032,0.0898
Realm,default,read,equality,int,100,10,0.0382,0.0206,0.1692,0.0463
Realm,default,read,equality,int,1000,10,0.2988,0.2621,0.5016,0.0719
Realm,default,read,equality,int,10000,10,1.2866,0.8453,2.3346,0.5771
Realm,default,read,equality,int,100000,10,6.4855,4.4927,9.2572,1.8936
Realm,default,read,equality,string,10,10,0.0373,0.0165,0.1984,0.0567
Realm,default,read,equality,string,100,10,0.0567,0.0267,0.1757,0.0476
Realm,default,read,equality,string,1000,10,0.1351,0.1075,0.3390,0.0719
Realm,default,read,equality,string,10000,10,0.9838,0.9430,1.1740,0.0695
Realm,default,read,equality,string,100000,10,7.0211,4.8367,10.0912,2.3301
Realm,default,read,notEqual,int,10,10,0.0815,0.0284,0.4857,0.1423
Realm,default,read,notEqual,int,100,10,0.1997,0.1696,0.3659,0.0598
Realm,default,read,notEqual,int,1000,10,2.5308,1.5701,4.4060,1.0625
Realm,default,read,notEqual,int,10000,10,12.4207,8.1198,28.1990,6.4001
Realm,default,read,notEqual,int,100000,10,85.6174,81.3105,98.9208,5.3067
Realm,default,read,notEqual,string,10,10,0.0468,0.0299,0.1664,0.0423
Realm,default,read,notEqual,string,100,10,0.2051,0.1708,0.3930,0.0691
Realm,default,read,notEqual,string,1000,10,1.7839,1.6523,2.1411,0.1571
Realm,default,read,notEqual,string,10000,10,10.1174,8.1115,16.6100,3.1337
Realm,default,read,notEqual,string,100000,10,86.7211,81.5123,121.0458,12.0954
Realm,default,read,comparison,int,10,10,0.0899,0.0224,0.4603,0.1374
Realm,default,read,comparison,int,100,10,0.1088,0.0840,0.2698,0.0570
Realm,default,read,comparison,int,1000,10,2.0131,1.4271,2.9775,0.4031
Realm,default,read,comparison,int,10000,10,5.9268,3.8241,7.8332,1.8418
Realm,default,read,comparison,int,100000,10,44.2761,39.7472,75.1036,10.8814
Realm,default,read,comparison,string,10,10,0.0420,0.0198,0.1998,0.0557
Realm,default,read,comparison,string,100,10,0.1670,0.0818,0.3053,0.0879
Realm,default,read,comparison,string,1000,10,0.7363,0.6043,1.1492,0.1621
Realm,default,read,comparison,string,10000,10,4.8930,3.0314,6.4748,1.4052
Realm,default,read,comparison,string,100000,10,35.2653,30.9987,68.8257,11.8628
Realm,default,read,sort,int,10,10,0.0889,0.0689,0.2344,0.0514
Realm,default,read,sort,int,100,10,0.5244,0.4937,0.7393,0.0759
Realm,default,read,sort,int,1000,10,3.0396,1.9590,5.5421,1.1372
Realm,default,read,sort,int,10000,10,14.5607,10.7525,24.0687,4.7610
Realm,default,read,sort,int,100000,10,119.9309,113.6979,161.5611,14.6701
Realm,default,read,sort,string,10,10,0.0503,0.0276,0.2177,0.0590
Realm,default,read,sort,string,100,10,0.2136,0.1931,0.3676,0.0543
Realm,default,read,sort,string,1000,10,2.1295,2.0687,2.4106,0.1105
Realm,default,read,sort,string,10000,10,15.2919,11.1812,30.9077,6.4867
Realm,default,read,sort,string,100000,10,125.6113,119.8873,169.6323,15.4926
Realm,default,read,byID,-,10,10,0.0180,0.0103,0.0766,0.0207
Realm,default,read,byID,-,100,10,0.0182,0.0104,0.0772,0.0208
Realm,default,read,byID,-,1000,10,0.0185,0.0108,0.0742,0.0196
Realm,default,read,byID,-,10000,10,0.0092,0.0040,0.0513,0.0148
Realm,default,read,byID,-,100000,10,0.0102,0.0043,0.0581,0.0168
Realm,default,write,insert,-,10,10,0.3678,0.1880,1.0717,0.2757
Realm,default,write,insert,-,100,10,1.4760,0.5842,2.2695,0.5348
