engine,indexing,access,operation,valueType,size,samples,avg_ms,min_ms,max_ms,stddev_ms
SwiftletModel,indexed,read,notEqual,int,1000,10,1.2540,0.9306,2.8640,0.5833
SwiftletModel,indexed,read,notEqual,int,10000,10,7.2808,5.0114,15.3082,3.1159
SwiftletModel,indexed,read,notEqual,int,100000,10,48.9283,42.4154,78.0660,10.4443
SwiftletModel,indexed,read,notEqual,string,10,10,0.1496,0.0527,0.6239,0.1676
SwiftletModel,indexed,read,notEqual,string,100,10,0.4227,0.2467,0.8015,0.1772
SwiftletModel,indexed,read,notEqual,string,1000,10,1.9380,1.5159,4.3885,0.8861
SwiftletModel,indexed,read,notEqual,string,10000,10,8.6840,6.1569,16.0717,3.1064
SwiftletModel,indexed,read,notEqual,string,100000,10,49.6410,44.6901,57.6889,3.8875
SwiftletModel,indexed,read,comparison,int,10,10,0.1055,0.0324,0.7391,0.2227
SwiftletModel,indexed,read,comparison,int,100,10,0.1190,0.0832,0.3976,0.0982
SwiftletModel,indexed,read,comparison,int,1000,10,0.5036,0.4788,0.6848,0.0639
SwiftletModel,indexed,read,comparison,int,10000,10,3.3369,2.1782,5.3164,1.4287
SwiftletModel,indexed,read,comparison,int,100000,10,25.6365,21.7984,48.6210,8.2293
SwiftletModel,indexed,read,comparison,string,10,10,0.1239,0.0705,0.5293,0.1429
SwiftletModel,indexed,read,comparison,string,100,10,0.1218,0.0859,0.3920,0.0952
SwiftletModel,indexed,read,comparison,string,1000,10,0.7770,0.5836,1.5611,0.2958
SwiftletModel,indexed,read,comparison,string,10000,10,4.2677,3.0805,8.3248,1.5841
SwiftletModel,indexed,read,comparison,string,100000,10,19.6992,16.1898,41.8162,7.9408
SwiftletModel,indexed,read,sort,int,10,10,0.0780,0.0407,0.3848,0.1079
SwiftletModel,indexed,read,sort,int,100,10,0.5011,0.3454,0.8987,0.2030
SwiftletModel,indexed,read,sort,int,1000,10,2.6067,2.1693,5.4932,1.0307
SwiftletModel,indexed,read,sort,int,10000,10,14.0515,11.0223,28.5429,5.4438
SwiftletModel,indexed,read,sort,int,100000,10,130.8852,123.4877,155.3051,9.1952
SwiftletModel,indexed,read,sort,string,10,10,0.1304,0.1085,0.2986,0.0593
SwiftletModel,indexed,read,sort,string,100,10,0.5310,0.3088,1.1696,0.3159
SwiftletModel,indexed,read,sort,string,1000,10,3.0561,2.3551,5.8505,1.0167
SwiftletModel,indexed,read,sort,string,10000,10,13.8155,12.6949,19.3430,2.0327
SwiftletModel,indexed,read,sort,string,100000,10,135.5600,124.8414,171.1192,14.0885
SwiftletModel,indexed,read,byID,-,10,10,0.0071,0.0012,0.0592,0.0183
SwiftletModel,indexed,read,byID,-,100,10,0.0036,0.0009,0.0267,0.0081
SwiftletModel,indexed,read,byID,-,1000,10,0.0070,0.0023,0.0426,0.0126
SwiftletModel,indexed,read,byID,-,10000,10,0.0066,0.0024,0.0416,0.0123
SwiftletModel,indexed,read,byID,-,100000,10,0.0024,0.0009,0.0141,0.0041
SwiftletModel,indexed,write,insert,-,10,10,0.5925,0.3776,1.3820,0.3609
SwiftletModel,indexed,write,insert,-,100,10,2.0708,1.5199,3.4758,0.8682
SwiftletModel,indexed,write,insert,-,1000,10,18.9762,16.0950,34.4987,5.7960
SwiftletModel,indexed,write,insert,-,10000,10,186.8445,173.3370,205.6812,11.9238
SwiftletModel,indexed,write,insert,-,100000,10,1999.7177,1952.6900,2025.6253,22.6528
SwiftletModel,indexed,write,update,-,10,10,0.3676,0.3545,0.4371,0.0246
SwiftletModel,indexed,write,update,-,100,10,2.8854,2.1814,3.9429,0.6508
SwiftletModel,indexed,write,update,-,1000,10,22.5526,21.6495,29.3071,2.3827
SwiftletModel,indexed,write,update,-,10000,10,262.2559,255.5731,269.6912,4.2166
SwiftletModel,indexed,write,update,-,100000,10,4522.1862,4283.0368,5565.2300,372.1764
SwiftletModel,unindexed,read,equality,int,10,10,0.0580,0.0217,0.3724,0.1105
SwiftletModel,unindexed,read,equality,int,100,10,0.1484,0.1363,0.2373,0.0314
SwiftletModel,unindexed,read,equality,int,1000,10,1.6346,1.3176,2.4826,0.3977
SwiftletModel,unindexed,read,equality,int,10000,10,9.0911,6.6871,14.9637,2.6807
SwiftletModel,unindexed,read,equality,int,100000,10,66.0150,61.7025,93.3930,9.6538
SwiftletModel,unindexed,read,equality,string,10,10,0.0871,0.0571,0.3360,0.0875
SwiftletModel,unindexed,read,equality,string,100,10,0.1528,0.1390,0.2623,0.0386
SwiftletModel,unindexed,read,equality,string,1000,10,1.3786,1.3100,1.5088,0.0816
SwiftletModel,unindexed,read,equality,string,10000,10,9.0708,6.7299,13.6495,2.3877
SwiftletModel,unindexed,read,equality,string,100000,10,65.5960,63.3540,78.2056,4.4743
SwiftletModel,unindexed,read,notEqual,int,10,10,0.0420,0.0310,0.1249,0.0293
SwiftletModel,unindexed,read,notEqual,int,100,10,0.2402,0.2330,0.2888,0.0172
SwiftletModel,unindexed,read,notEqual,int,1000,10,2.5671,2.1277,4.3586,0.6489
SwiftletModel,unindexed,read,notEqual,int,10000,10,12.4733,11.2300,16.3588,1.9682
SwiftletModel,unindexed,read,notEqual,int,100000,10,112.7195,108.9060,138.1815,8.9790
SwiftletModel,unindexed,read,notEqual,string,10,10,0.0375,0.0308,0.0844,0.0165
SwiftletModel,unindexed,read,notEqual,string,100,10,0.2455,0.2339,0.3310,0.0302
SwiftletModel,unindexed,read,notEqual,string,1000,10,2.4984,2.1373,4.9975,0.8900
SwiftletModel,unindexed,read,notEqual,string,10000,10,13.9131,11.2289,24.0480,4.1662
SwiftletModel,unindexed,read,notEqual,string,100000,10,112.9347,109.1882,139.8129,9.4655
SwiftletModel,unindexed,read,comparison,int,10,10,0.0805,0.0690,0.1643,0.0296
SwiftletModel,unindexed,read,comparison,int,100,10,0.3428,0.2443,0.4777,0.1135
SwiftletModel,unindexed,read,comparison,int,1000,10,1.8963,1.6283,2.8045,0.4607
SwiftletModel,unindexed,read,comparison,int,10000,10,11.4224,8.6298,19.7808,3.6115
SwiftletModel,unindexed,read,comparison,int,100000,10,88.0348,83.4533,115.4099,9.6710
SwiftletModel,unindexed,read,comparison,string,10,10,0.0277,0.0225,0.0663,0.0136
SwiftletModel,unindexed,read,comparison,string,100,10,0.3312,0.1739,0.6915,0.1990
SwiftletModel,unindexed,read,comparison,string,1000,10,1.7113,1.6120,1.8430,0.0861
SwiftletModel,unindexed,read,comparison,string,10000,10,10.8915,7.9600,20.5577,3.9281
SwiftletModel,unindexed,read,comparison,string,100000,10,81.1396,77.3641,101.9444,7.3590
SwiftletModel,unindexed,read,sort,int,10,10,0.1170,0.0949,0.2844,0.0589
SwiftletModel,unindexed,read,sort,int,100,10,0.9120,0.6713,1.9078,0.4080
SwiftletModel,unindexed,read,sort,int,1000,10,4.7782,4.2572,8.1616,1.2187
SwiftletModel,unindexed,read,sort,int,10000,10,38.5339,35.6745,59.5087,7.4283
SwiftletModel,unindexed,read,sort,int,100000,10,422.1528,416.3365,454.0752,11.4625
SwiftletModel,unindexed,read,sort,string,10,10,0.1092,0.1010,0.1702,0.0215
SwiftletModel,unindexed,read,sort,string,100,10,0.6936,0.6821,0.7743,0.0284
SwiftletModel,unindexed,read,sort,string,1000,10,6.3212,5.0975,8.4281,1.1018
SwiftletModel,unindexed,read,sort,string,10000,10,38.5240,35.5216,61.9632,8.2879
SwiftletModel,unindexed,read,sort,string,100000,10,420.1545,414.5271,448.3552,10.2144
SwiftletModel,unindexed,read,byID,-,10,10,0.0077,0.0009,0.0663,0.0206
SwiftletModel,unindexed,read,byID,-,100,10,0.0043,0.0009,0.0329,0.0101
SwiftletModel,unindexed,read,byID,-,1000,10,0.0021,0.0007,0.0137,0.0041
SwiftletModel,unindexed,read,byID,-,10000,10,0.0045,0.0012,0.0309,0.0093
SwiftletModel,unindexed,read,byID,-,100000,10,0.0039,0.0009,0.0284,0.0086
SwiftletModel,unindexed,write,insert,-,10,10,0.1393,0.1168,0.3014,0.0572
SwiftletModel,unindexed,write,insert,-,100,10,1.3470,1.0012,3.0641,0.6256
SwiftletModel,unindexed,write,insert,-,1000,10,8.4096,6.0835,15.1483,2.8097
SwiftletModel,unindexed,write,insert,-,10000,10,64.9063,61.8511,88.8544,8.4186
SwiftletModel,unindexed,write,insert,-,100000,10,685.0143,675.8253,702.0988,9.4680
SwiftletModel,unindexed,write,update,-,10,10,0.1723,0.1630,0.2375,0.0230
SwiftletModel,unindexed,write,update,-,100,10,1.7118,1.3324,2.2110,0.2757
SwiftletModel,unindexed,write,update,-,1000,10,11.9979,10.5607,19.2358,2.7830
SwiftletModel,unindexed,write,update,-,10000,10,108.4009,106.4164,115.1042,2.6296
SwiftletModel,unindexed,write,update,-,100000,10,1219.0158,1182.8252,1321.7680,38.8287
